Sample_ID,A_10_NIT_LMR_IN_USB_00_00_00.csv,A_1_NIT_LMR_IN_USB_03_19_19.csv,A_2_NIT_LMR_IN_USB_03_14_19.csv,A_3_NIT_LMR_IN_USB_00_00_00.csv,A_4_NIT_LMR_IN_USB_00_00_00.csv,A_5_NIT_LMR_IN_USB_03_21_19.csv,A_6_NIT_LMR_IN_USB_03_22_19.csv,A_7_NIT_LMR_IN_USB_03_22_19.csv,A_8_NIT_LMR_IN_USB_03_28_19.csv,A_9_NIT_LMR_IN_USB_03_29_19.csv,B_1_NIT_LMR_IN_USB_04_02_19.csv,B_2_NIT_LMR_IN_USB_04_02_19.csv,C_1_NIT_LMR_IN_USB_04_02_19.csv
IN-1250,,,,,,,,,61.46768416360685,,,,
IN-1251,,,,,,,,,58.539775064604456,,,,
IN-1252,,,,,,,,,41.08493235901321,,,,
IN-1253,,,,,,,,,19.801285447034207,,,,
IN-1254,,,,,,,,,25.206656091346332,,,,
IN-1255,,,,,,,,,40.07142536320468,,36.416532160095585,,
IN-1256,,,,,,,,,26.445386864001193,,,,
IN-1257,,,,,,,,,x_14.283302914298906,,13.41265868035514,,
IN-1258,,,,,,,,,x_22.05352321549759,,20.490773597198352,,
IN-1259,,,,,,,,,10.004051154218475,,,,
IN-1260,,,,,,,,,x_6.6256945015233955,,x_6.9981170369659775,6.1853152647229335,
IN-1261,,,,,,,,,7.4139777204855815,,,,
IN-1262,,,,,,,,,6.513082613100226,,,,
IN-1263,,,,,,,,,x_9.32837982367946,,8.32526358387408,,
IN-1264,,,,,,,,,x_5.612187505714874,,6.0027571267849,,
IN-1265,,,,,,,,,5.83741128256121,,,,
IN-1266,,,,,,,,,7.4139777204855815,,,,
IN-1267,,,,,,,,,7.63920149733192,,,,
IN-1268,,,,,,,,,x_8.540096604717275,,6.445139309087601,,
IN-1269,,,,,,,,,11.130170038450169,,,,
IN-1270,,,,,,,,,5.386963728868535,,5.892161581209225,,
IN-1271,,,,,,,,,5.837411282561213,,5.78156603563355,,
IN-1272,,,,,,,,,x_9.5536036005258,,,x_7.772870386566373,x_10.510198967697036
IN-1273,,,,,,,,,,7.316051297571336,,,x_10.510198967697036
IN-1274,,,,,,,,,,6.971041083453154,,,
IN-1275,,,,,,,,,,6.856037678747095,,,
IN-1276,,,,,,,,,,6.971041083453153,,,
IN-1277,,,,,,,,,,5.936010441098612,,,
IN-1278,,,,,,,,,,6.626030869334974,,6.185315264722933,
IN-1279,,,,,,,,,,x_5.936010441098612,,6.5255056479750975,
IN-1280,,,,,,,,,,x_10.076133010516783,,8.453251153070706,
IN-1281,,,,,,,,,,x_10.421143224634964,,9.133631919575036,
IN-1282,,,,,,,,,,x_11.111163652871326,,x_9.020235125157646,
IN-1283,,,,,,,,,,8.121075130513756,,,11.040413044578447
IN-1284,,,,,,,,,,7.661061511689515,,,11.040413044578447
