Sample_ID,A_10_URE_LMR_IN_USB_04_02_19.csv,A_1_URE_LMR_IN_USB_03_19_19.csv,A_2_URE_LMR_IN_USB_03_14_19.csv,A_3_URE_LMR_IN_USB_00_00_00.csv,A_4_URE_LMR_IN_USB_00_00_00.csv,A_5_URE_LMR_IN_USB_03_21_19.csv,A_6_URE_LMR_IN_USB_03_22_19.csv,A_7_URE_LMR_IN_USB_03_22_19.csv,A_8_URE_LMR_IN_USB_03_28_19.csv,A_9_URE_LMR_IN_USB_03_29_19.csv,B_1_URE_LMR_IN_USB_04_02_19.csv
IN-1203,,,,,,,435.68492007622115,,,,
IN-1204,,,,,,,446.6629617812765,,,,
IN-1205,,,,,,,506.74433731437,,,,
IN-1206,,,,,,,487.59659015438984,,,,
IN-1207,,,,,,,x_394.92149390008547,,,,404.7457365937374
IN-1208,,,,,,,455.76877931957813,,,,
IN-1209,,,,,,,466.49151772916713,,,,
IN-1210,,,,,,,506.74433731437,,,,
IN-1211,,,,,,,366.2424237093595,,,,
IN-1212,,,,,,,503.76579886726194,,,,
IN-1213,,,,,,,506.74433731437,,,,
IN-1214,,,,,,,408.1972652643384,,,,
IN-1215,,,,,,,x_334.58481507152544,,,,432.19490547657387
IN-1216,,,,,,,426.7493047348971,,,,
IN-1217,,,,,,,,394.74329226179657,,,
IN-1218,,,,,,,,x_404.12034740852175,,,385.32264048366
IN-1219,,,,,,,,430.2979596931294,,,
IN-1220,,,,,,,,507.46330933805496,,,
IN-1221,,,,,,,,408.4181643507708,,,
IN-1222,,,,,,,,433.8143553731514,,,
IN-1223,,,,,,,,557.4742701205889,,,
IN-1224,,,,,,,,541.6504895604903,,,
IN-1225,,,,,,,,449.73581359102843,,,
IN-1226,,,,,,,,377.2589915194654,,,
IN-1227,,,,,,,,488.02545544015595,,,
IN-1228,,,,,,,,474.0575503778467,,,
IN-1229,,,,,,,,525.0452877381646,,,
IN-1230,,,,,,,,550.6368340761019,,,
IN-1231,,,,,,,,x_498.7699977957785,,,472.96735516219087
IN-1232,,,,,,,,535.5944747782303,,,
IN-1233,,,,,,,,468.8806345155921,,,
IN-1234,,,,,,,,396.69684541736444,,,
IN-1235,,,,,,,,390.93386360843954,,,
IN-1236,,,,,,,,423.06981301752876,,,
IN-1237,,,,,,,,432.7399011375892,,,
IN-1238,,,,,,,,415.6463110263714,,,
IN-1239,,,,,,,,496.8164446402108,,,
IN-1240,,,,,,,,470.73651001338146,,,
IN-1241,,,,,,,,359.77469077713414,,,
IN-1242,,,,,,,,351.667445181528,,,
IN-1243,,,,,,,,449.73581359102843,,,
IN-1244,,,,,,,,431.2747362709133,,,
IN-1245,,,,,,,,,484.5115706793079,,
IN-1246,,,,,,,,,491.4733143663214,,
IN-1247,,,,,,,,,491.8877038715008,,
IN-1248,,,,,,,,,493.04799448600306,,
IN-1249,,,,,,,,,491.8877038715008,,
IN-1250,,,,,,,,,459.7310782695813,,
IN-1251,,,,,,,,,479.8704082212988,,
IN-1252,,,,,,,,,359.0344285109929,,
IN-1253,,,,,,,,,337.4861742416653,,
IN-1254,,,,,,,,,353.647364943661,,
IN-1255,,,,,,,,,493.04799448600306,,
IN-1256,,,,,,,,,411.33038406463004,,
IN-1257,,,,,,,,,490.56165745492683,,
IN-1258,,,,,,,,,369.3941661404773,,
IN-1259,,,,,,,,,31.91535312239356,,
IN-1260,,,,,,,,,69.87343179682439,,
IN-1261,,,,,,,,,18.074743649402404,,
IN-1262,,,,,,,,,19.815179571155777,,
IN-1263,,,,,,,,,55.12116541243861,,
IN-1264,,,,,,,,,32.495498429644684,,
IN-1265,,,,,,,,,35.893492372115574,,
IN-1266,,,,,,,,,14.262360201752148,,
IN-1267,,,,,,,,,27.7714580705998,,
IN-1268,,,,,,,,,48.90532283474797,,
IN-1269,,,,,,,,,20.561080680478657,,
IN-1270,,,,,,,,,29.67764979442493,,
IN-1271,,,,,,,,,22.467272404303788,,
IN-1272,,,,,,,,,x_26.611167456097547,,30.168920289063713
IN-1273,,,,,,,,,,27.85655481661477,
IN-1274,,,,,,,,,,38.32527062148657,
IN-1275,,,,,,,,,,68.76372161716424,
IN-1276,,,,,,,,,,23.72185193569902,
IN-1277,,,,,,,,,,30.23180966309829,
IN-1278,,,,,,,,,,31.639368090644076,
IN-1279,,,,,,,,,,26.88885839767704,
IN-1280,,,,,,,,,,43.33969751961844,
IN-1281,,,,,,,,,,15.276501370424295,
IN-1282,,,,,,,,,,26.71291359423382,
IN-1283,,,,,,,,,,16.332170191083634,
IN-1284,,,,,,,,,,26.976830799398652,
IN-1285,,,,,,,,,,47.82629000742064,
IN-1286,,,,,,,,,,29.528030449325392,
IN-1287,,,,,,,,,,33.13489891991148,
IN-1288,,,,,,,,,,40.61255306624847,
IN-1289,,,,,,,,,,50.64140686251221,
IN-1290,,,,,,,,,,46.7706211867613,
IN-1291,,,,,,,,,,48.35412441775031,
IN-1292,,,,,,,,,,23.018072721926124,
IN-1293,,,,,,,,,,18.09161822551587,
IN-1294,,,,,,,,,,24.68954835463675,
IN-1295,,,,,,,,,,154.44884089401404,
IN-1296,,,,,,,,,,18.267563028959096,
IN-1297,,,,,,,,,,19.14728704617521,
IN-1298,,,,,,,,,,44.04347673339134,
IN-1299,,,,,,,,,,40.0847186559188,
IN-1300,,,,,,,,,,55.04002694859279,
IN-1301,32.690477358693585,,,,,,,,,,
IN-1302,22.547978583934853,,,,,,,,,,
IN-1303,21.42103427562833,,,,,,,,,,
IN-1304,24.715179176832017,,,,,,,,,,
IN-1305,41.7060318251458,,,,,,,,,,
IN-1306,23.068106726230173,,,,,,,,,,
IN-1307,38.75863901880565,,,,,,,,,,
IN-1308,24.801867200547907,,,,,,,,,,
IN-1309,30.78334083694408,,,,,,,,,,
IN-1310,40.319023445691606,,,,,,,,,,
IN-1311,31.04340490809174,,,,,,,,,,
IN-1312,42.74628810973644,,,,,,,,,,
IN-1313,40.23233542197572,,,,,,,,,,
IN-1314,47.427441390394314,,,,,,,,,,
IN-1315,32.6037893349777,,,,,,,,,,
IN-1316,26.44893965114975,,,,,,,,,,
IN-1317,41.7060318251458,,,,,,,,,,
IN-1318,50.374834196734454,,,,,,,,,,
IN-1319,46.73393720066722,,,,,,,,,,
IN-1320,39.79889530339629,,,,,,,,,,
IN-1321,61.21083716122028,,,,,,,,,,
IN-1322,40.14564739825984,,,,,,,,,,
