Sample_ID,A_15_URE_MS_GH_LI_10_01_18.csv,A_16_URE_MS_GH_LI_10_02_18.csv,A_17_URE_MS_GH_LI_10_02_18.csv,A_1_URE_MS_GH_LI_06_25_18.csv,A_2_URE_MS_GH_LI_06_28_18.csv,A_3_URE_MS_GH_LI_07_02_18.csv,A_4_URE_MS_GH_LI_07_05_18.csv,A_7_URE_MS_GH_LI_07_05_18.csv,A_8_URE_MS_GH_LI_07_09_18.csv,A_9_URE_MS_GH_LI_07_10_18.csv,B_5_URE_MS_GH_LI_07_27_18.csv,B_6_URE_MS_GH_LI_10_03_18.csv,NO_BLANKS_QB_1_URE_MS_GH_LI_00_00_00.csv
LIG-157,,,,,,,,,,x_22.72792529009662,,,
LIG-158,,,,,,,,,,15.515318915747969,,,
LIG-159,,,,,,,,,,18.416942169796275,,,
LIG-160,,,,,,,,,,52.1586754383009,,,
LIG-161,x_10.195369708285275,,,,,,,,,,,x_9.772175140523663,
LIG-162,x_9.280615912741093,,,,,,,,,,,8.175454071751341,
LIG-163,53.39207672009388,,,,,,,,,,,,
LIG-164,x_13.3461883373819,,,,,,,,,,,14.00348597277032,
LIG-165,159.30023838198696,,,,,,,,,,,,
LIG-166,41.29699875678747,,,,,,,,,,,,
LIG-167,61.218303637527434,,,,,,,,,,,,
LIG-168,46.88716084066857,,,,,,,,,,,,
LIG-169,65.909431249206,,,,,,,,,,,,
LIG-170,17.10684283017465,,,,,,,,,,,,
LIG-171,72.0937098734416,,,,,,,,,,,,
LIG-172,76.05764298746638,,,,,,,,,,,,
LIG-173,70.5691202142013,,,,,,,,,,,,
LIG-174,117.52648171880264,,,,,,,,,,,,
LIG-175,94.55599751958208,,,,,,,,,,,,
LIG-176,73.92321746452996,,,,,,,,,,,,
LIG-177,12.12651660998966,,,,,,,,,,,,
LIG-178,15.98881041339843,,,,,,,,,,,,
LIG-179,10.39864832951731,,,,,,,,,,,,
LIG-180,13.752745579845982,,,,,,,,,,,,
LIG-181,x_2.3691427908517158,,,,,,,,,,,1.9482419035392795,
LIG-182,64.47076157724008,,,,,,,,,,,,
LIG-183,83.37567335181984,,,,,,,,,,,,
LIG-184,101.87402788393554,,,,,,,,,,,,
LIG-185,41.80519530986757,,,,,,,,,,,,
LIG-186,42.00847393109961,,,,,,,,,,,,
LIG-187,56.74617397042253,,,,,,,,,,,,
LIG-188,60.40518915259927,,,,,,,,,,,,
LIG-189,,85.23880911241314,,,,,,,,,,,
LIG-190,,20.959494146990956,,,,,,,,,,,
LIG-191,,65.4872136782942,,,,,,,,,,,
LIG-192,,63.32146856490395,,,,,,,,,,,
LIG-193,,38.37208485864845,,,,,,,,,,,
LIG-194,,26.590431441805567,,,,,,,,,,,
LIG-195,,46.08213746231768,,,,,,,,,,,
LIG-196,,53.27241123877326,,,,,,,,,,,
LIG-197,,9.957508970968561,,,,,,,,,,,
LIG-198,,24.59794593748655,,,,,,,,,,,
LIG-199,,22.951979651309976,,,,,,,,,,,
LIG-200,,11.863364670751968,,,,,,,,,,,
LIG-201,,312.8920983307416,,,,,,,,,,,
LIG-202,,121.61348991611605,,,,,,,,,,,
LIG-203,,x_3.6008321477985734,,,,,,,,,,-5.167198588124872,
LIG-204,,-0.8665182075698601,,,,,,,,,,,
LIG-205,,27.37009968262605,,,,,,,,,,,
LIG-206,,25.46424398284264,,,,,,,,,,,
LIG-207,,16.45474431113927,,,,,,,,,,,
LIG-208,,101.87173158325015,,,,,,,,,,,
LIG-209,,20.393941142196233,,,,,,,,,,,
LIG-210,,175.50706543851817,,,,,,,,,,,
LIG-211,,110.96540178417587,,,,,,,,,,,
LIG-212,,31.701589909406515,,,,,,,,,,,
LIG-213,,51.799704561667895,,,,,,,,,,,
LIG-214,,61.15572345151372,,,,,,,,,,,
LIG-215,,18.533859619993894,,,,,,,,,,,
LIG-216,,24.857835351093378,,,,,,,,,,,
LIG-217,,,x_14.23235847461643,,,,,,,,,8.335126178628574,
LIG-218,,,90.74475450083112,,,,,,,,,,
LIG-219,,,54.49266464906233,,,,,,,,,,
LIG-220,,,23.49579175369248,,,,,,,,,,
LIG-221,,,43.269658945566356,,,,,,,,,,
LIG-222,,,96.44532882641639,,,,,,,,,,
LIG-223,,,22.426934067645245,,,,,,,,,,
LIG-224,,,90.47754007931931,,,,,,,,,,
LIG-225,,,145.2564964892402,,,,,,,,,,
LIG-226,,,,,,,,,,,,,
LIG-227,,,20.823647538574388,,,,,,,,,,
LIG-228,,,12.985357840894654,,,,,,,,,,
LIG-229,,,17.884288901944487,,,,,,,,,,
LIG-230,,,18.329646271130834,,,,,,,,,,
LIG-231,,,,,,,,,,,,,
LIG-232,,,,,,,,,,,,,
LIG-233,,,,,,,,,,,,,
LIG-234,,,,,,,,,,,,,
LIG-235,,,33.828082718815764,,,,,,,,,,
LIG-236,,,27.682151024044153,,,,,,,,,,
LIG-237,,,20.91271901241166,,,,,,,,,,
LIG-238,,,8.26456972751936,,,,,,,,,,
LIG-239,,,28.48379428857958,,,,,,,,,,
LIG-240,,,3.1874957187949833,,,,,,,,,,
