Sample_ID,N0,U0,N1,U1,N2,U2,N3,U3,N4,U4,N5,U5,N6,U6,N7,U7,N8,U8,N9,U9,N10,U10,N11,N12
IN-1279,,,,,,,,,,,,,,,,,,,6568.460416981945,7084.894506520909,,,7205.81141447943,
IN-1280,,,,,,,,,,,,,,,,,,,10708.582986400115,11197.604287006257,,,9133.556919575036,
IN-1281,,,,,,,,,,,,,,,,,,,11053.593200518297,4181.805249707722,,,9813.937686079369,
IN-1282,,,,,,,,,,,,,,,,,,,11743.613628754658,7040.908305660105,,,9700.540891661978,
IN-1283,,,,,,,,,,,,,,,,,,,8753.525106397088,4445.722454872557,,,,11146.443359954728
IN-1284,,,,,,,,,,,,,,,,,,,8293.511487572847,7106.887606951313,,,,11146.443359954728
IN-1285,,,,,,,,,,,,,,,,,,,11513.606819342536,12319.252408956805,,,,
IN-1286,,,,,,,,,,,,,,,,,,,10133.565962869816,7744.687519432998,,,7659.398592148985,
IN-1287,,,,,,,,,,,,,,,,,,,6108.446798157702,8646.404637079519,,,,
IN-1288,,,,,,,,,,,,,,,,,,,8063.504678160727,10515.818173663767,,,,
IN-1289,,,,,,,,,,,,,,,,,,,10708.582986400117,13023.0316227297,,,7886.192180983764,
IN-1290,,,,,,,,,,,,,,,,,,,10478.576176987997,12055.335203791974,,,,
IN-1291,,,,,,,,,,,,,,,,,,,9328.542129927391,12451.211011539226,,,,
IN-1292,,,,,,,,,,,,,,,,,,,7833.4978687486055,6117.19808758318,,,,
IN-1293,,,,,,,,,,,,,,,,,,,5763.436584039522,4885.584463480616,,,,
IN-1294,,,,,,,,,,,,,,,,,,,7718.494464042546,6535.066995760836,,,,
IN-1295,,,,,,,,,,,,,,,,,,,10823.586391106177,38974.89013060515,,,,
IN-1296,,,,,,,,,,,,,,,,,,,7603.491059336487,4929.570664341422,,,,
IN-1297,,,,,,,,,,,,,,,,,,,9788.555748751634,5149.501668645451,,,,
IN-1298,,,,,,,,,,,,,,,,,,,10363.572772281936,11373.549090449482,,,,
IN-1299,,,,,,,,,,,,,,,,,,,7373.484249924365,10383.85957108135,,,,
IN-1300,,,,,,,,,,,,,,,,,,,6338.453607569823,14122.686644249845,,,,
IN-1301,10630.740861614046,8638.298717146286,,,,,,,,,,,,,,,,,,,,,,
IN-1302,9399.303605731233,6102.674023456604,,,,,,,,,,,,,,,,,,,,,6071.843470305546,
IN-1303,8503.712874180097,5820.937946379972,,,,,,,,,,,,,,,,,,,,,,
IN-1304,8615.66171562399,6644.474171680895,,,,,,,,,,,,,,,,,,,,,,
IN-1305,8391.764032736206,10892.18733375934,,,,,,,,,,,,,,,,,,,,,,
IN-1306,9399.303605731233,6232.706059030434,,,,,,,,,,,,,,,,,,,,,,
IN-1307,11078.536227389612,10155.339132174304,,,,,,,,,,,,,,,,,,,,,,
IN-1308,10182.945495838478,6666.146177609868,,,,,,,,,,,,,,,,,,,,,,
IN-1309,6824.480252521719,8161.514586708912,,,,,,,,,,,,,,,,,,,,,,
IN-1310,8055.917508404529,10545.435238895794,,,,,,,,,,,,,,,,,,,,,,
IN-1311,7943.968666960637,8226.530604495827,,,,,,,,,,,,,,,,,,,,,,
IN-1312,8615.66171562399,11152.251404907001,,,,,,,,,,,,,,,,,,,,,,
IN-1313,8055.917508404529,10523.763232966823,,,,,,,,,,,,,,,,,,,,,,
IN-1314,10966.587385945719,12322.539725071469,,,,,,,,,,,,,,,,,,,,,7205.811414479432,
IN-1315,8391.764032736204,8616.626711217315,,,,,,,,,,,,,,,,,,,,,,
IN-1316,9511.252447175124,7077.914290260328,,,,,,,,,,,,,,,,,,,,,,
IN-1317,8055.917508404529,10892.18733375934,,,,,,,,,,,,,,,,,,,,,,
IN-1318,9399.303605731233,13059.387926656504,,,,,,,,,,,,,,,,,,,,,,
IN-1319,10518.792020170153,12149.163677639695,,,,,,,,,,,,,,,,,,,,,,
IN-1320,10182.945495838478,10415.403203321963,,,,,,,,,,,,,,,,,,,,,,
IN-1321,11862.178117496855,15768.388667777961,,,,,,,,,,,,,,,,,,,,,7772.795386566373,
IN-1322,9735.15013006291,10502.09122703785,,,,,,,,,,,,,,,,,,,,,,
