Sample_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IN-1158,,,,,,,,,9805.121986587397,3935.8257008252294,,,,,,,,,,,,,,
IN-1159,,,,,,,,,11054.248549906564,13410.267181874573,,,,,,,,,,,,,,
IN-1160,,,,,,,,,12644.045994130955,15482.172643760097,,,,,,,,,,,,,,
IN-1161,,,,,,,,,,,14616.599878450495,34521.86431093041,,,,,,,,,,,,
IN-1162,,,,,,,,,,,12458.253657960888,10858.128761933496,,,,,,,,,,,,
IN-1163,,,,,,,,,,,10186.310267971829,883.5890683156101,,,,,,,,,,4490.96417184201,,
IN-1164,,,,,,,,,,,7914.366877982768,4116.715727626236,,,,,,,,,,,,
IN-1165,,,,,,,,,,,6891.992352487693,2396.9675045886697,,,,,,,,,6748.0346344259215,,,
IN-1166,,,,,,,,,,,7005.589521987145,470.8494947865951,,,,,,,,,,,,
IN-1167,,,,,,,,,,,8709.54706447894,1158.7487840016202,,,,,,,,,,,,
IN-1168,,,,,,,,,,,8936.741403477847,3119.261758264448,,,,,,,,,,,,
IN-1169,,,,,,,,,,,8255.158386481127,1330.7236063053786,,,,,,,,,,,,
IN-1170,,,,,,,,,,,6437.603674489879,23.714956796828094,,,,,,,,,,,,
IN-1171,,,,,,,,,,,11549.476301965264,6524.3632398788295,,,,,,,,,,,,
IN-1172,,,,,,,,,,,7232.783860986051,1227.5387129231242,,,,,,,,,,,,
IN-1173,,,,,,,,,,,5074.437640496446,-1661.6383017799876,,,,,,,,,,,,
IN-1174,,,,,,,,,,,7459.978199984958,1433.9084996876315,,,,,,,,,,,,
IN-1175,,,,,,,,,,,9391.130081475658,2775.3121136569353,,,,,,,,,,,,
IN-1176,,,,,,,,,,,9277.532911976205,2121.8077889026595,,,,,,,,,,,,
IN-1177,,,,,,,,,,,5756.020657493164,746.0092104726051,,,,,,,,,,,,
IN-1178,,,,,,,,,,,7687.172538983861,6008.438772967559,,,,,,,,,,,,
IN-1179,,,,,,,,,,,11095.08762396745,6180.413595271316,,,,,,,,,,,,
IN-1180,,,,,,,,,,,8823.144233978392,2912.8919714999406,,,,,,,,,,,,
IN-1181,,,,,,,,,,,8255.158386481127,-10.680007663923869,,,,,,,,,,,,
IN-1182,,,,,,,,,,,10527.101776470188,5045.379768066522,,,,,,,,,10731.792316603269,,9278.637196709296,
IN-1183,,,,,,,,,,,8141.561216981674,2878.4970070391887,,,,,,,,,,,,
IN-1184,,,,,,,,,,,10867.893284968546,952.378997237114,,,,,,,,,8075.95386181837,,,
IN-1185,,,,,,,,,,,8482.352725480034,-457.8145456536916,,,,,,,,,8407.933668666481,,,
IN-1186,,,,,,,,,,,9163.935742476753,3084.8667938036974,,,,,,,,,,,,
IN-1187,,,,,,,,,,,11322.281962966355,5767.674021742299,,,,,,,,,,,,
IN-1188,,,,,,,,,,,8823.144233978392,1915.4380021381505,,,,,,,,,,,,
IN-1189,,,,,,,,,,,,,7748.29437086093,3862.8053263125066,,,,,,,,3126.481256556881,,
IN-1190,,,,,,,,,,,,,10902.873598772414,9203.045843263648,,,,,,,,,,
IN-1191,,,,,,,,,,,,,10902.873598772414,5586.149875607497,,,,,,,,,,
IN-1192,,,,,,,,,,,,,10226.892335648525,4501.081085310652,,,,,,,8518.59360428252,,8026.069521954876,
IN-1193,,,,,,,,,,,,,8536.9391778388,3671.3225986130637,,,,,,,,,,
IN-1194,,,,,,,,,,,,,12029.509037312228,13670.976156250657,,,,,,,,,,
IN-1195,,,,,,,,,,,,,30393.66668551123,109050.65040920669,,,,,,,,,,
IN-1196,,,,,,,,,,,,,31632.965667905028,110156.99505813682,,,,,,,,,,
IN-1197,,,,,,,,,,,,,28929.040615409467,110859.09839303476,,,,,,,,,,
IN-1198,,,,,,,,,,,,,26337.77910676789,126901.09580252146,,,,,,,,,,
IN-1199,,,,,,,,,,,,,38618.10538685188,121837.44144780285,,,,,,,,,,
IN-1200,,,,,,,,,,,,,53715.02026328542,117603.54557978183,,,,,,,,,,
IN-1201,,,,,,,,,,,,,33660.9094572767,106391.16808004776,,,,,,,,,,
IN-1202,,,,,,,,,,,,,35801.51679050235,111880.3396074318,,,,,,,,,,
IN-1203,,,,,,,,,,,,,23633.854054272335,109242.13313690614,,,,,,,,,,
IN-1204,,,,,,,,,,,,,44476.60966725893,111986.71890059818,,,,,,,,,,
IN-1205,,,,,,,,,,,,,7410.3037392989845,127007.47509568783,,,,,,,22461.74549190324,,,
IN-1206,,,,,,,,,,,,,57320.25366661282,122220.40690320174,,,,,,,,,,
IN-1207,,,,,,,,,,,,,40646.04917622355,99050.9968515691,,,,,,,,101389.31708231095,,
IN-1208,,,,,,,,,,,,,32083.61984332095,114263.23577435821,,,,,,,,,,
IN-1209,,,,,,,,,,,,,27239.087457599744,116943.9939621504,,,,,,,,,,
IN-1210,,,,,,,,,,,,,41322.03043934744,127007.47509568783,,,,,,,,,,
IN-1211,,,,,,,,,,,,,83458.19584073656,91881.0324921566,,,,,,,,,,
IN-1212,,,,,,,,,,,,,23295.86342271039,126262.82004352333,,,,,,,,,,
IN-1213,,,,,,,,,,,,,45941.235737360694,127007.47509568783,,,,,,,,,,
IN-1214,,,,,,,,,,,,,35576.18970279438,102370.03079835945,,,,,,,,,,
IN-1215,,,,,,,,,,,,,47856.51598287837,83966.41308057962,,,,,,,,108251.86350918615,,
IN-1216,,,,,,,,,,,,,29717.68542238734,107008.16798041265,,,,,,,,,,
IN-1217,,,,,,,,,,,,,,,125524.77791030533,99250.35797530199,,,,,,,,
IN-1218,,,,,,,,,,,,,,,112929.35806297707,101594.74289200004,,,,,,96533.36317791388,,
IN-1219,,,,,,,,,,,,,,,169608.74737595418,108139.48411778212,,,,,33527.73905350698,,,
IN-1220,,,,,,,,,,,,,,,125524.77791030533,127431.81832810985,,,,,,,,
IN-1221,,,,,,,,,,,,,,,119227.06798664121,102669.25264548667,,,,,,,,
IN-1222,,,,,,,,,,,,,,,182204.16722328242,109018.6284615439,,,,,,,,
IN-1223,,,,,,,,,,,,,,,175906.45729961828,139935.20455049942,,,,,,,,
IN-1224,,,,,,,,,,,,,,,125524.77791030533,135979.0550035715,,,,,,,,
IN-1225,,,,,,,,,,,,,,,175906.45729961828,112999.19868468746,,,,,,,,
IN-1226,,,,,,,,,,,,,,,163311.03745229,94879.05693270877,,,,,,,,
IN-1227,,,,,,,,,,,,,,,175906.45729961828,122572.10376120449,,,,,,,,
IN-1228,,,,,,,,,,,,,,,106631.64813931298,119079.94706237304,,,,,,,,
IN-1229,,,,,,,,,,,,,,,150715.6176049618,131827.54004691867,,,,,38618.0960918447,,,
IN-1230,,,,,,,,,,,,,,,100333.93821564886,138225.7572154071,,,,,21133.826264510786,,,
IN-1231,,,,,,,,,,,,,,,175906.45729961828,125258.37814492101,,,,,,118445.35352337507,,
IN-1232,,,,,,,,,,,,,,,182204.16722328242,134464.97307820397,,,,,24564.284268607946,,,
IN-1233,,,,,,,,,,,,,,,144417.9076812977,117785.65122294596,,,,,,,,
IN-1234,,,,,,,,,,,,,,,175906.45729961828,99738.77149961411,,,,,44593.732615110726,,,
